name,id,name_type,class,mass,fall,year,lat,long,geolocation
Galim (a),10848,Valid,LL6,36.1,Fell,1952,7.05,12.43333,"(7.05, 12.43333)"
Galim (b),10849,Valid,EH3/4-an,28,Fell,1952,7.05,12.43333,"(7.05, 12.43333)"
Gashua,44882,Valid,L6,4162,Fell,1984,12.85,11.03333,"(12.85, 11.03333)"
Glanggang,10924,Valid,H5-6,1303,Fell,1939,-7.25,107.7,"(-7.25, 107.7)"
Gorlovka,10949,Valid,H3.7,3618,Fell,1974,48.28333,38.08333,"(48.28333, 38.08333)"
Grefsheim,11196,Valid,L5,45.5,Fell,1976,60.66667,11,"(60.66667, 11.0)"
Grimsby,50911,Valid,H5,215,Fell,2009,43.2,-79.61667,"(43.2, -79.61667)"
Guibga,11442,Valid,L5,288,Fell,1972,13.5,-0.68333,"(13.5, -0.68333)"
Guidder,11443,Valid,LL5,968,Fell,1949,9.91667,13.98333,"(9.91667, 13.98333)"
Gujargaon,11448,Valid,H5,2449,Fell,1982,22.98333,76.05,"(22.98333, 76.05)"
Gurram Konda,11464,Valid,L6,28,Fell,1814,13.78333,78.56667,"(13.78333, 78.56667)"
Hachi-oji,11468,Valid,H?,0.2,Fell,1817,35.65,139.33333,"(35.65, 139.33333)"
Hallingeberg,11479,Valid,L3.4,1456,Fell,1944,57.81667,16.23333,"(57.81667, 16.23333)"
Haripura,11829,Valid,CM2,315,Fell,1921,28.38333,75.78333,"(28.38333, 75.78333)"
Haverö,11859,Valid,Ureilite,1544,Fell,1971,60.24556,22.06194,"(60.24556, 22.06194)"
Hiroshima,11889,Valid,H5,414,Fell,2003,34.45,132.38333,"(34.45, 132.38333)"
Hoima,44714,Valid,H6,167.7,Fell,2003,1.345,31.47278,"(1.345, 31.47278)"
Hökmark,11893,Valid,L4,305.5,Fell,1954,64.43333,21.2,"(64.43333, 21.2)"
Holetta,11895,Valid,Stone-uncl,1415,Fell,1923,9.06667,38.41667,"(9.06667, 38.41667)"
Hoxie,11915,Valid,OC,266.1,Fell,1963,39.35,-100.45,"(39.35, -100.45)"
Hungen,11986,Valid,H6,112,Fell,1877,50.3,8.91667,"(50.3, 8.91667)"
Ichkala,11995,Valid,H6,3973,Fell,1936,58.2,82.93333,"(58.2, 82.93333)"
Innisfree,12039,Valid,L5,4576,Fell,1977,53.415,-111.3375,"(53.415, -111.3375)"
Itapicuru-Mirim,12056,Valid,H5,2024,Fell,1879,-3.4,-44.33333,"(-3.4, -44.33333)"
Ivuna,12063,Valid,CI1,704.5,Fell,1938,-8.41667,32.43333,"(-8.41667, 32.43333)"
Jajh deh Kot Lalu,12067,Valid,EL6,973,Fell,1926,26.75,68.41667,"(26.75, 68.41667)"
Jamkheir,12072,Valid,H6,22,Fell,1866,18.75,75.33333,"(18.75, 75.33333)"
Jesenice,51589,Valid,L6,3667,Fell,2009,46.42137,14.05217,"(46.42137, 14.05217)"
Jiange,12086,Valid,H5,222,Fell,1964,31.91667,104.91667,"(31.91667, 104.91667)"
Jolomba,12199,Valid,LL6,483,Fell,1974,-11.85,15.83333,"(-11.85, 15.83333)"
Kadonah,12221,Valid,H6,89,Fell,1822,27.08333,78.33333,"(27.08333, 78.33333)"
Kakowa,12231,Valid,L6,577,Fell,1858,45.13333,21.66667,"(45.13333, 21.66667)"
Kamsagar,12241,Valid,L6,1293,Fell,1902,14.18333,75.8,"(14.18333, 75.8)"
Kandahar (Afghanistan),12243,Valid,L6,299,Fell,1959,31.6,65.78333,"(31.6, 65.78333)"
Kapoeta,12251,Valid,Howardite,11355,Fell,1942,4.7,33.63333,"(4.7, 33.63333)"
Kendleton,12275,Valid,L4,6937,Fell,1939,29.45,-96,"(29.45, -96.0)"
Kendrapara,12276,Valid,H4-5,6669.2,Fell,2003,20.4625,86.70278,"(20.4625, 86.70278)"
Khanpur,12289,Valid,LL5,3698,Fell,1932,25.55,83.11667,"(25.55, 83.11667)"
Khmelevka,12297,Valid,L5,6109,Fell,1929,56.75,75.33333,"(56.75, 75.33333)"
Kiel,12301,Valid,L6,737.6,Fell,1962,54.4,10.15,"(54.4, 10.15)"
Kijima (1906),12305,Valid,Stone-uncl,331,Fell,1906,36.85,138.38333,"(36.85, 138.38333)"
Kilbourn,12308,Valid,H5,772,Fell,1911,43.58333,-89.6,"(43.58333, -89.6)"
Kingai,12316,Valid,H6,67.4,Fell,1967,11.63333,24.68333,"(11.63333, 24.68333)"
Kirbyville,12321,Valid,Eucrite-mmict,97.7,Fell,1906,30.75,-95.95,"(30.75, -95.95)"
Kitchener,12326,Valid,L6,202.6,Fell,1998,43.38333,-80.38333,"(43.38333, -80.38333)"
Kobe,12336,Valid,CK4,136,Fell,1999,34.73333,135.16667,"(34.73333, 135.16667)"
Komagome,12343,Valid,Iron,238,Fell,1926,35.73333,139.75,"(35.73333, 139.75)"
Krutikha,12363,Valid,OC,845.2,Fell,1906,56.8,77,"(56.8, 77.0)"
Kulak,12369,Valid,L5,453.6,Fell,1961,30.73111,66.80222,"(30.73111, 66.80222)"
Kulp,12373,Valid,H6,3719,Fell,1906,41.11667,45,"(41.11667, 45.0)"
Kutais,12383,Valid,H5,23,Fell,1977,44.51667,39.3,"(44.51667, 39.3)"
Kuznetzovo,12385,Valid,L6,4047,Fell,1932,55.2,75.33333,"(55.2, 75.33333)"
La Charca,12394,Valid,OC,399,Fell,1878,20.66667,-101.28333,"(20.66667, -101.28333)"
Laborel,12408,Valid,H5,3833,Fell,1871,44.28333,5.58333,"(44.28333, 5.58333)"
Lalitpur,12451,Valid,L6,372,Fell,1887,24.45,78.56667,"(24.45, 78.56667)"
Lanxi,12464,Valid,L6,1282,Fell,1986,46.24167,126.19611,"(46.24167, 126.19611)"
Leighlinbridge,12759,Valid,L6,271.4,Fell,1999,52.66667,-6.96667,"(52.66667, -6.96667)"
Les Ormes,12769,Valid,L6,125,Fell,1857,48.35,3.25,"(48.35, 3.25)"
Linum,14655,Valid,L6,1862,Fell,1854,52.75,12.9,"(52.75, 12.9)"
Lishui,14659,Valid,L5,498,Fell,1978,31.63333,118.98333,"(31.63333, 118.98333)"
Little Piney,14664,Valid,L5,491,Fell,1839,37.91667,-92.08333,"(37.91667, -92.08333)"
Lua,14721,Valid,L5,9241,Fell,1926,24.95,75.15,"(24.95, 75.15)"
Luotolax,14756,Valid,Howardite,885,Fell,1813,61.2,27.7,"(61.2, 27.7)"
Macibini,15372,Valid,Eucrite-pmict,1995,Fell,1936,-28.83333,31.95,"(-28.83333, 31.95)"
Maigatari-Danduma,30751,Valid,H5/6,4629,Fell,2004,12.83333,9.38333,"(12.83333, 9.38333)"
Manych,15409,Valid,LL3.4,3555,Fell,1951,45.81667,44.63333,"(45.81667, 44.63333)"
Maribo,48973,Valid,CM2,25.81,Fell,2009,54.76183,11.46745,"(54.76183, 11.46745)"
Maryville,15436,Valid,L6,1443,Fell,1983,35.8,-84.1,"(35.8, -84.1)"
Medanitos,15467,Valid,Eucrite-cm,31,Fell,1953,-27.25,-67.5,"(-27.25, -67.5)"
Meerut,15469,Valid,H5,22,Fell,1861,29.01667,77.8,"(29.01667, 77.8)"
Menziswyl,15486,Valid,L5,28.9,Fell,1903,46.81867,7.21817,"(46.81867, 7.21817)"
Messina,15495,Valid,L5,2405,Fell,1955,38.18333,15.56667,"(38.18333, 15.56667)"
Mike,16636,Valid,L6,224.2,Fell,1944,46.23333,17.53333,"(46.23333, 17.53333)"
Mineo,16696,Valid,Pallasite,42,Fell,1826,37.28333,14.7,"(37.28333, 14.7)"
Mjelleim,16707,Valid,H,100.7,Fell,1898,61.73333,5.93333,"(61.73333, 5.93333)"
Monahans (1998),16719,Valid,H5,2587,Fell,1998,31.60833,-102.85833,"(31.60833, -102.85833)"
Moss,36592,Valid,CO3.6,3763,Fell,2006,59.43333,10.7,"(59.43333, 10.7)"
Mulletiwu,16851,Valid,L,25.5,Fell,1795,9.33333,80.83333,"(9.33333, 80.83333)"
Muraid,16874,Valid,L6,4703,Fell,1924,24.5,90.21667,"(24.5, 90.21667)"
Muzaffarpur,16885,Valid,"Iron, IAB-sHL",1245,Fell,1964,26.13333,85.53333,"(26.13333, 85.53333)"
Nantong,16907,Valid,H6,529,Fell,1984,32.11667,121.8,"(32.11667, 121.8)"
Narellan,16912,Valid,L6,367.5,Fell,1928,-34.05,150.68889,"(-34.05, 150.68889)"
Nassirah,16922,Valid,H4,347,Fell,1936,-21.73333,165.9,"(-21.73333, 165.9)"
Ngawi,16966,Valid,LL3.6,1393,Fell,1883,-7.45,111.41667,"(-7.45, 111.41667)"
Nikolaevka,16976,Valid,H4,3996,Fell,1935,52.45,78.63333,"(52.45, 78.63333)"
Nio,16982,Valid,H3-4,467,Fell,1897,34.2,131.56667,"(34.2, 131.56667)"
Noblesville,16985,Valid,H4-6,483.7,Fell,1991,40.08528,-86.055,"(40.08528, -86.055)"
Nyaung,17969,Valid,"Iron, IIIAB",737.6,Fell,1939,21.20833,94.91667,"(21.20833, 94.91667)"
Okabe,17998,Valid,H5,194,Fell,1958,36.18333,139.21667,"(36.18333, 139.21667)"
Oterøy,18042,Valid,L6,246,Fell,1928,58.88333,9.4,"(58.88333, 9.4)"
Oviedo,18058,Valid,H5,205,Fell,1856,43.4,-5.86667,"(43.4, -5.86667)"
Padvarninkai,18069,Valid,Eucrite-mmict,3858,Fell,1929,55.66667,25,"(55.66667, 25.0)"
Palmyra,18079,Valid,L3,135,Fell,1926,39.8,-91.5,"(39.8, -91.5)"
Palolo Valley,18082,Valid,H5,682,Fell,1949,21.3,-157.78333,"(21.3, -157.78333)"
Patora,18112,Valid,H6,4375,Fell,1969,20.93694,82.05,"(20.93694, 82.05)"
Patti,18118,Valid,Iron,12,Fell,1922,38.13333,14.96667,"(38.13333, 14.96667)"
Pavel,18173,Valid,H5,2968,Fell,1966,43.46667,25.51667,"(43.46667, 25.51667)"
Pavlodar (stone),18175,Valid,H5,142.5,Fell,1938,52.3,77.03333,"(52.3, 77.03333)"
Peckelsheim,18181,Valid,Diogenite-pm,117.8,Fell,1953,51.66667,9.25,"(51.66667, 9.25)"
Peramiho,18792,Valid,Eucrite-mmict,165,Fell,1899,-10.66667,35.5,"(-10.66667, 35.5)"
Perpeti,18793,Valid,L6,23474,Fell,1935,23.325,91,"(23.325, 91.0)"
Pesyanoe,18799,Valid,Aubrite,3393,Fell,1933,55.5,66.08333,"(55.5, 66.08333)"
Piancaldoli,18813,Valid,LL3.4,13.1,Fell,1968,44.24417,11.50222,"(44.24417, 11.50222)"
Piquetberg,18832,Valid,H,37,Fell,1881,-32.86667,18.71667,"(-32.86667, 18.71667)"
Pirgunje,18834,Valid,L6,842,Fell,1882,25.8,88.45,"(25.8, 88.45)"
Pirthalla,18835,Valid,H6,1161,Fell,1884,29.58333,76,"(29.58333, 76.0)"
Pleşcoi,51706,Valid,L5-6,6913,Fell,2008,45.275,26.70972,"(45.275, 26.70972)"
Ploschkovitz,18849,Valid,L5,39,Fell,1723,50.53333,14.11667,"(50.53333, 14.11667)"
Pnompehn,18851,Valid,L6,96,Fell,1868,11.58333,104.91667,"(11.58333, 104.91667)"
Pontlyfni,18865,Valid,Winonaite,157,Fell,1931,53.03639,-4.31944,"(53.03639, -4.31944)"
Po-wang Chen,18879,Valid,LL,665,Fell,1933,31.41667,118.5,"(31.41667, 118.5)"
Prambachkirchen,18883,Valid,L6,2125,Fell,1932,48.3025,13.94083,"(48.3025, 13.94083)"
Pribram,18887,Valid,H5,5555,Fell,1959,49.66667,14.03333,"(49.66667, 14.03333)"
Qidong,18907,Valid,L/LL5,1275,Fell,1982,32.08333,121.5,"(32.08333, 121.5)"
Quenggouk,22358,Valid,H4,6045,Fell,1857,17.76667,95.18333,"(17.76667, 95.18333)"
Quincay,22363,Valid,L6,65,Fell,1851,46.6,0.25,"(46.6, 0.25)"
Rahimyar Khan,31302,Valid,L5,67225,Fell,1983,28.225,70.2,"(28.225, 70.2)"
Ramsdorf,22386,Valid,L6,4682,Fell,1958,51.88333,6.93333,"(51.88333, 6.93333)"
Ranchapur,22387,Valid,H4,290.4,Fell,1917,23.98333,87.08333,"(23.98333, 87.08333)"
Rangala,22392,Valid,L6,3224.5,Fell,1937,25.38333,72.01667,"(25.38333, 72.01667)"
Ras Tanura,22395,Valid,H6,6.1,Fell,1961,26.66667,50.15,"(26.66667, 50.15)"
Red Canyon Lake,53502,Valid,H5,18.41,Fell,2007,38.13742,-119.75812,"(38.13742, -119.75812)"
Renqiu,22589,Valid,L6,355,Fell,1916,38.66667,116.13333,"(38.66667, 116.13333)"
Revelstoke,22592,Valid,CI1,1,Fell,1965,51.33333,-118.95,"(51.33333, -118.95)"
Rewari,22593,Valid,L6,3332,Fell,1929,28.2,76.66667,"(28.2, 76.66667)"
Rich Mountain,22597,Valid,L6,668,Fell,1903,35.03333,-83.03333,"(35.03333, -83.03333)"
Rumuruti,22782,Valid,R3.8-6,67,Fell,1934,0.26667,36.53333,"(0.26667, 36.53333)"
Sabrum,22793,Valid,LL6,478,Fell,1999,23.08333,91.66667,"(23.08333, 91.66667)"
Salem,23107,Valid,L6,61.4,Fell,1981,44.97917,-122.96944,"(44.97917, -122.96944)"
Salzwedel,23114,Valid,LL5,43,Fell,1985,52.75,11.05,"(52.75, 11.05)"
Samelia,23115,Valid,"Iron, IIIAB",2462,Fell,1921,25.66667,74.86667,"(25.66667, 74.86667)"
San Juan Capistrano,23128,Valid,H6,56,Fell,1973,33.48472,-117.6625,"(33.48472, -117.6625)"
San Michele,31315,Valid,L6,237,Fell,2002,43.66667,13,"(43.66667, 13.0)"
São Jose do Rio Preto,23171,Valid,H4,927,Fell,1962,-20.81,-49.38056,"(-20.81, -49.38056)"
Sasagase,23187,Valid,H,695,Fell,1688,34.71667,137.78333,"(34.71667, 137.78333)"
Sazovice,23455,Valid,L5,412,Fell,1934,49.23333,17.56667,"(49.23333, 17.56667)"
Schenectady,23458,Valid,H5,283.3,Fell,1968,42.86083,-73.95028,"(42.86083, -73.95028)"
Senboku,23496,Valid,H6,866,Fell,1993,39.43833,140.51167,"(39.43833, 140.51167)"
Sharps,23525,Valid,H3.4,1265,Fell,1921,37.83333,-76.7,"(37.83333, -76.7)"
Sheyang,23531,Valid,L6,605,Fell,1976,33.65,120.06667,"(33.65, 120.06667)"
Shikarpur,23534,Valid,L6,3679.7,Fell,1921,25.85,87.5775,"(25.85, 87.5775)"
Silistra,55584,Valid,Achondrite-ung,0.15,Fell,1917,44.11667,27.26667,"(44.11667, 27.26667)"
Sinai,23606,Valid,L6,1455,Fell,1916,30.9,32.48333,"(30.9, 32.48333)"
Slavetic,23626,Valid,H5,1708,Fell,1868,45.68333,15.6,"(45.68333, 15.6)"
Sołtmany,53829,Valid,L6,1066,Fell,2011,54.00883,22.005,"(54.00883, 22.005)"
St. Mary's County,23091,Valid,LL3.3,24.3,Fell,1919,38.16667,-76.38333,"(38.16667, -76.38333)"
St.-Chinian,23097,Valid,L6,134.3,Fell,1959,43.43333,2.95,"(43.43333, 2.95)"
Suchy Dul,23737,Valid,L6,815.3,Fell,1969,50.53806,16.26333,"(50.53806, 16.26333)"
Sultanpur,23741,Valid,L/LL6,1710.5,Fell,1916,25.93333,84.28333,"(25.93333, 84.28333)"
Sungach,23745,Valid,H5,637,Fell,1935,44.86667,133.16667,"(44.86667, 133.16667)"
Sutter's Mill,55529,Valid,C,992.5,Fell,2012,38.80389,-120.90806,"(38.80389, -120.90806)"
Tané,23801,Valid,L5,905,Fell,1918,35.43333,136.23333,"(35.43333, 136.23333)"
Tianzhang,23984,Valid,H5,2232,Fell,1986,32.94667,118.99,"(32.94667, 118.99)"
Tomiya,24024,Valid,H4/5,27.5,Fell,1984,38.36667,140.86556,"(38.36667, 140.86556)"
Tonk,24026,Valid,CI1,7.7,Fell,1911,24.65,76.86667,"(24.65, 76.86667)"
Torino,24029,Valid,H6,977,Fell,1988,45.06667,7.66667,"(45.06667, 7.66667)"
Torrington,24032,Valid,H6,259.1,Fell,1944,42.06667,-104.16667,"(42.06667, -104.16667)"
Turtle Lake,47343,Valid,L5,89.3,Fell,1996,45.34583,-92.05167,"(45.34583, -92.05167)"
Ufana,24106,Valid,EL6,189.2,Fell,1957,-4.26667,35.35,"(-4.26667, 35.35)"
Ulmiz,24108,Valid,L,76.5,Fell,1926,46.93333,7.21667,"(46.93333, 7.21667)"
Undulung,24121,Valid,L4,113.4,Fell,1986,66.13889,124.76667,"(66.13889, 124.76667)"
Usti Nad Orlici,24132,Valid,L6,1269,Fell,1963,49.975,16.375,"(49.975, 16.375)"
Utzenstorf,24136,Valid,H5,3422,Fell,1928,47.11667,7.55,"(47.11667, 7.55)"
Valdavur,24144,Valid,H6,2799,Fell,1944,11.98333,79.75,"(11.98333, 79.75)"
Valdinizza,24145,Valid,L6,1004,Fell,1903,44.86667,9.15,"(44.86667, 9.15)"
Vavilovka,24154,Valid,LL6,1932,Fell,1876,46.15,32.83333,"(46.15, 32.83333)"
Vilna,24183,Valid,L5,0.1,Fell,1967,54.225,-111.69167,"(54.225, -111.69167)"
Vishnupur,24187,Valid,LL4-6,2437,Fell,1906,23.1,87.43333,"(23.1, 87.43333)"
Vissannapeta,24188,Valid,Eucrite-cm,1303.8,Fell,1997,16.83333,80.75,"(16.83333, 80.75)"
Washougal,24218,Valid,Howardite,225,Fell,1939,45.58333,-122.35,"(45.58333, -122.35)"
Wethersfield (1982),24251,Valid,L6,2756,Fell,1982,41.71056,-72.67361,"(41.71056, -72.67361)"
Whetstone Mountains,49514,Valid,H5,2138.74,Fell,2009,31.96185,-110.434183,"(31.96185, -110.434183)"
Witsand Farm,24322,Valid,LL4,66,Fell,1932,-28.66667,18.91667,"(-28.66667, 18.91667)"
Worden,24337,Valid,L5,1551,Fell,1997,42.38467,-83.6115,"(42.38467, -83.6115)"
Yoshiki,30372,Valid,Stone-uncl,0.1,Fell,1928,34.16667,131.45,"(34.16667, 131.45)"
Yurtuk,30378,Valid,Howardite,1472,Fell,1936,47.31667,35.36667,"(47.31667, 35.36667)"
Zaborzika,30379,Valid,L6,3867,Fell,1818,50.28333,27.68333,"(50.28333, 27.68333)"
Zaisan,30388,Valid,H5,463,Fell,1963,47.5,83,"(47.5, 83.0)"
Zmenj,30411,Valid,Howardite,246,Fell,1858,51.83333,26.83333,"(51.83333, 26.83333)"
Zsadany,30413,Valid,H5,552,Fell,1875,46.93333,21.5,"(46.93333, 21.5)"
Zvonkov,30415,Valid,H6,2568,Fell,1955,50.2,30.25,"(50.2, 30.25)"
Abajo,4,Valid,H5,331,Found,1982,26.8,-105.41667,"(26.8, -105.41667)"
Abar al' Uj 001,51399,Valid,H3.8,194.34,Found,2008,22.72192,48.95937,"(22.72192, 48.95937)"
Abernathy,7,Valid,L6,2914,Found,1941,33.85,-101.8,"(33.85, -101.8)"
Acfer 002,12,Valid,H5,228,Found,1989,27.61667,3.85,"(27.61667, 3.85)"
Acfer 003,13,Valid,H5,145,Found,1989,27.81667,4.03333,"(27.81667, 4.03333)"
Acfer 005,15,Valid,H3.9/4,115,Found,1989,27.6,3.83333,"(27.6, 3.83333)"
Acfer 006,16,Valid,H3.9/4,561,Found,1989,27.63333,3.96667,"(27.63333, 3.96667)"
Acfer 007,17,Valid,L5,542,Found,1989,27.51667,3.65,"(27.51667, 3.65)"
Acfer 008,18,Valid,H5,205,Found,1989,27.53333,3.7,"(27.53333, 3.7)"
Acfer 009,19,Valid,L6,127,Found,1989,27.73333,4.08333,"(27.73333, 4.08333)"
Acfer 012,22,Valid,H6,98,Found,1989,27.8,4.16667,"(27.8, 4.16667)"
Acfer 014,24,Valid,H5,307,Found,1989,27.8,4.46667,"(27.8, 4.46667)"
Acfer 015,25,Valid,L6,98,Found,1989,27.78333,4.28333,"(27.78333, 4.28333)"
Acfer 016,26,Valid,H4-5,111,Found,1989,27.71667,4.48333,"(27.71667, 4.48333)"
Acfer 017,27,Valid,L5,446,Found,1989,27.73333,4.4,"(27.73333, 4.4)"
Acfer 018,28,Valid,H5,207,Found,1989,27.7,4.08333,"(27.7, 4.08333)"
Acfer 019,29,Valid,L6,581,Found,1989,27.7,4.06667,"(27.7, 4.06667)"
Acfer 022,32,Valid,H3.7,192,Found,1989,27.51667,3.83333,"(27.51667, 3.83333)"
Acfer 023,33,Valid,H3.8,118,Found,1989,27.51667,3.91667,"(27.51667, 3.91667)"
Acfer 024,34,Valid,H5,1464,Found,1989,27.55,3.93333,"(27.55, 3.93333)"
Acfer 026,36,Valid,H5/6,88,Found,1989,27.61667,4.05,"(27.61667, 4.05)"
Acfer 027,37,Valid,H5,206,Found,1989,27.66667,4.2,"(27.66667, 4.2)"
Acfer 029,39,Valid,H4,98,Found,1989,27.68333,4.33333,"(27.68333, 4.33333)"
Acfer 031,41,Valid,H5,2016,Found,1989,27.66667,4.35,"(27.66667, 4.35)"
Acfer 032,42,Valid,L6,495,Found,1989,27.65,4.46667,"(27.65, 4.46667)"
Acfer 033,43,Valid,L6,93,Found,1989,27.65,4.43333,"(27.65, 4.43333)"
Acfer 034,44,Valid,L6,184,Found,1989,27.63333,4.35,"(27.63333, 4.35)"
Acfer 035,45,Valid,H6,36,Found,1989,27.6,4.3,"(27.6, 4.3)"
Acfer 036,46,Valid,L5/6,112,Found,1989,27.58333,4.25,"(27.58333, 4.25)"
Acfer 037,47,Valid,LL4-6,385,Found,1989,27.55,4.13333,"(27.55, 4.13333)"
Acfer 038,48,Valid,H5,962,Found,1989,27.53333,4,"(27.53333, 4.0)"
